Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,21,1,22,25,29
22,3,3,4,25,29
21,4,3,5,24,28
20,5,4,6,25,29
19,6,5,7,24,28
18,7,6,8,25,29
17,8,7,9,24,28
16,9,8,10,25,29
15,10,9,11,24,28
14,11,10,12,25,29
13,12,11,13,24,28
12,13,10,14,25,29
11,14,9,15,24,28
10,15,8,16,25,29
9,16,7,17,24,28
8,17,6,18,25,29
7,18,5,19,24,28
6,19,4,20,25,29
5,20,3,21,24,28
4,21,2,22,25,29
3,22,1,23,24,28
2,23,1,24,25,29
1,24,2,23,24,28
2,23,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
2,21,1,22,25,29
1,22,2,21,24,28
