Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,6,1,7,28,28
20,24,8,3,4,28
19,23,8,4,5,29
18,22,8,5,6,28
17,21,8,6,7,29
16,20,8,7,8,28
15,19,8,8,9,29
14,18,8,9,10,28
13,17,9,10,11,29
12,16,9,11,12,28
11,15,8,12,13,29
10,14,8,13,14,28
9,14,7,12,15,29
8,13,7,13,16,28
7,13,6,12,17,29
6,12,5,11,18,28
5,11,4,10,19,29
4,10,3,9,20,28
3,9,2,8,21,29
2,8,1,7,22,28
1,7,2,6,23,29
2,6,1,7,24,28
1,7,2,6,25,29
2,6,1,7,26,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
1,7,2,6,27,29
2,6,1,7,28,28
